G8_CORNERS degree=4 profile_size=14
TARGET 44004044 profile=1882,2894,5962,7527,8646,8808,12229,19264,19960,20564,24555,33696,34441,35407
TARGET 44004400 profile=949,6994,7552,12840,14564,19305,20521,23350,25056,26402,30247,33183,35596,35779
TARGET 44004404 profile=152,922,2954,7531,8809,12544,12852,14577,19966,20016,26440,33183,35058,35761
TARGET 44004440 profile=1,1004,7249,7503,8808,12848,18544,18696,19095,26799,29539,36672,39697,40099
TARGET 44004444 profile=12,24,7504,8701,12578,14628,18544,18549,19900,24552,26472,29401,32049,35770
TARGET 44040000 profile=29,749,7692,12190,14586,19338,19813,20137,20528,24489,27279,29746,30405,34006
TARGET 44040004 profile=26,27,7535,7688,8804,11873,14772,19270,19960,30754,30763,35136,35762,38221
TARGET 44040040 profile=25,7527,12187,18347,19900,21194,23793,25201,29539,30721,34186,35407,36637,38221
TARGET 44040044 profile=3042,7002,8808,12568,17775,19270,20450,20520,26805,34441,35161,35286,36378,36459
TARGET 44040400 profile=24,1004,1813,7503,11025,12187,14569,19516,26436,28575,36424,38778,39696,40098
TARGET 44040404 profile=6040,7681,12184,14406,14568,18192,18576,20532,22901,25237,29154,30594,36460,38232
TARGET 44040440 profile=2917,2953,6001,12550,14578,18640,19900,20450,22794,25320,27280,32292,36676,39602
TARGET 44040444 profile=1813,1890,3003,6033,6040,12544,19813,23232,23817,27273,34194,35337,36460,39602
TARGET 44044000 profile=5,29,7555,12154,22815,23002,25201,26436,29154,32139,32704,35760,36371,39700
TARGET 44044004 profile=205,2880,6040,6306,7752,12852,17756,19338,20509,23795,27242,32110,34663,36310
TARGET 44044040 profile=1843,3096,6047,7682,11086,17848,17980,20467,24491,26446,29522,30246,31985,39697
TARGET 44044044 profile=1900,2904,7514,8826,11079,12201,12568,20532,24336,24491,26994,30393,34657,36371
TARGET 44044400 profile=180,2886,6035,11086,12595,14586,19069,19624,20509,24541,24964,28842,28932,39696
TARGET 44044404 profile=944,2954,5926,7232,11080,17730,20509,24363,26079,28834,32139,32282,38882,39088
TARGET 44044440 profile=2884,6001,7555,12549,12848,22770,24208,24489,26985,28843,30240,30720,35770,36672
TARGET 44044444 profile=434,6783,12274,14554,18201,20060,20463,23232,23793,24552,26097,29401,34562,35305
TARGET 44400000 profile=196,2116,2884,7020,7027,8826,12187,12229,20146,23074,27243,29130,36600,38778
TARGET 44400004 profile=3,5963,7069,17706,19072,20192,26280,27273,30405,30754,34657,35596,36636,40098
TARGET 44400040 profile=18,192,1843,11829,14761,19168,19170,19627,26870,29754,30720,30721,36636,40098
TARGET 44400044 profile=205,486,906,7692,12187,14628,18585,19168,20520,26241,34440,35058,35432,36352
TARGET 44400400 profile=244,2116,2917,5962,12229,15036,17715,26400,26807,31984,36450,38169,38221,39696
TARGET 44400404 profile=13,936,2892,7069,7503,12203,19180,26073,29154,30154,30405,30456,38221,38235
